                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2702,                 2.0795,                 3.1338,                 1.1545,                0.60221,                0.59354,                0.59557,                0.34861,                0.55043,                0.56143,                0.52191,                0.30607,                 1.1686,                 1.7075,                 1.4729,                  1.274,             0.00025406,             0.00025406,             0.00025406
                      2,                 1.2061,                 1.8184,                 1.3983,                   1.12,                0.54217,                0.57581,                0.56455,                0.33883,                0.50154,                 0.5314,                0.50741,                0.29034,                 1.1783,                 2.0943,                 1.8311,                 1.3134,             0.00045987,             0.00045987,             0.00045987
                      3,                 1.2148,                 1.7813,                 1.2752,                 1.1364,                0.61509,                0.58411,                0.61024,                 0.3658,                0.60932,                0.54052,                0.55755,                0.31962,                 1.1713,                  1.861,                 1.4667,                 1.2652,             0.00061492,             0.00061492,             0.00061492
                      4,                 1.1714,                 1.7347,                 1.1373,                 1.1066,                0.67483,                0.65713,                0.69602,                0.42901,                0.64096,                0.62946,                0.65288,                0.38118,                 1.1184,                  1.706,                 1.1741,                 1.2425,             0.00054061,             0.00054061,             0.00054061
                      5,                 1.1423,                 1.7063,                 1.0664,                 1.0893,                0.74566,                0.64216,                0.72549,                0.45749,                0.72054,                0.61703,                0.68228,                0.40143,                 1.0433,                 1.6349,                 1.0478,                  1.198,             0.00054061,             0.00054061,             0.00054061
                      6,                 1.1064,                 1.6813,                0.97595,                 1.0697,                0.74905,                0.72319,                0.75131,                0.47723,                0.70464,                0.67614,                0.68087,                 0.4156,                0.99539,                 1.5568,                0.97788,                 1.1345,             0.00046448,             0.00046448,             0.00046448
                      7,                 1.0709,                 1.5964,                0.90984,                  1.047,                0.77139,                0.73463,                0.77951,                0.51375,                0.70668,                0.70642,                 0.7055,                0.44649,                0.96438,                 1.4759,                0.91271,                 1.1293,             0.00038835,             0.00038835,             0.00038835
                      8,                 1.0322,                 1.5413,                0.86248,                 1.0284,                0.82411,                0.74198,                0.81306,                0.53741,                0.78026,                0.71096,                0.75827,                0.47013,                0.92672,                 1.4397,                0.81392,                 1.0815,             0.00031221,             0.00031221,             0.00031221
                      9,                 0.9934,                 1.4844,                0.80227,                 1.0085,                0.79221,                 0.7696,                0.81561,                0.55672,                0.75522,                0.72969,                0.76746,                0.48879,                0.88984,                 1.4136,                0.77531,                  1.074,             0.00023608,             0.00023608,             0.00023608
                     10,                0.95816,                 1.4588,                0.76517,                0.99226,                0.78216,                0.81126,                0.83245,                0.58088,                0.75636,                 0.7834,                0.80097,                0.50466,                 0.8487,                 1.3445,                0.73141,                 1.0479,             0.00015995,             0.00015995,             0.00015995
